City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
345,portland,90,US,1518198960,65,45.52,-122.67,46.4,3.31
346,tuatapere,68,NZ,1518200473,100,-46.13,167.69,56.43,4.81
347,hualmay,8,PE,1518200473,67,-11.1,-77.61,77.85,5.44
348,myskhako,44,RU,1518197400,93,44.66,37.76,41.0,6.71
349,quatre cocos,75,MU,1518199200,94,-20.21,57.76,78.8,2.24
350,haradok,92,BY,1518200474,87,55.46,29.99,23.31,8.79
351,bergerac,40,FR,1518197400,93,44.85,0.49,35.6,6.93
352,yashkino,68,RU,1518200475,82,55.87,85.43,8.32,3.02
353,saint george,20,GR,1518198600,81,39.45,22.34,48.2,1.07
354,ballina,75,IE,1518197400,93,54.11,-9.15,35.6,9.17
355,xining,56,CN,1518200476,18,36.62,101.77,16.83,16.84
356,havoysund,20,NO,1518198600,74,71.0,24.66,30.2,23.04
357,labuhan,80,ID,1518200476,99,-2.54,115.51,72.27,1.79
358,salta,20,AR,1518195600,43,-24.79,-65.41,89.6,2.24
359,bada,0,NG,1518200478,20,12.41,4.51,87.7,6.93
360,munster,20,DE,1518198600,79,52.99,10.09,30.2,4.7
361,kupang,24,ID,1518200479,100,-10.16,123.6,78.97,6.6
362,mopipi,24,BW,1518200479,35,-21.2,24.86,82.84,8.68
363,port blair,24,IN,1518200480,100,11.67,92.75,79.83,9.13
364,aklavik,90,CA,1518199200,78,68.22,-135.01,12.2,2.24
365,carnot,8,CF,1518200480,51,4.94,15.87,83.97,3.91
366,teguldet,80,RU,1518200481,88,57.31,88.17,12.06,2.8
367,penzance,20,GB,1518198600,69,50.12,-5.53,44.6,18.34
368,klaksvik,24,FO,1518198600,59,62.23,-6.59,35.6,10.29
369,ibirataia,88,BR,1518200468,79,-14.07,-39.64,80.32,7.45
370,shar,48,NG,1518200482,35,7.3,8.73,94.14,7.45
371,hamina,90,FI,1518198600,92,60.57,27.2,15.8,6.93
372,fare,88,PF,1518200483,100,-16.7,-151.02,79.92,15.84
373,dwarka,0,IN,1518197400,62,28.58,77.04,55.4,2.42
374,andros town,40,BS,1518199200,51,24.73,-77.79,82.4,12.75
375,port shepstone,0,ZA,1518200484,84,-30.74,30.45,75.55,24.67
376,kargasok,88,RU,1518200484,90,59.06,80.87,13.41,2.35
377,cairo,8,EG,1518199200,73,30.05,31.24,69.8,14.99
378,codrington,0,AU,1518200485,93,-28.95,153.24,58.05,2.3
379,marion,40,US,1518198120,68,38.35,-97.02,30.2,19.46
380,abu samrah,20,SY,1518200486,64,35.3,37.18,52.02,6.11
